TERYT;NIEWAZNE
0203052;-1,00
0414022;-1,00
0618092;-1,00
0810043;-1,00
1426022;-1,00
1611043;-1,00
1801032;-1,00
1802052;-1,00
2012012;-1,00
2403031;-1,00
2410062;-1,00
2411033;-1,00
2813032;-1,00
3009113;-1,00
0209011;7,23
0803053;6,92
3004023;6,46
1018073;6,37
3008033;6,17
3202023;6,02
3022053;5,94
2605062;5,80
0203042;5,77
3201011;5,60
3002073;5,56
1422032;5,54
3029033;5,53
0409033;5,44
0412011;5,43
1005052;5,39
0401011;5,28
0419063;5,27
0210011;5,25
3025043;5,25
0803023;5,24
0810021;5,24
1818011;5,23
2407032;5,22
0809022;5,20
1816143;5,20
0208123;5,20
3006023;5,19
3018063;5,17
3202053;5,15
2811043;5,13
3205023;5,11
1414011;5,08
3024011;5,08
0403043;5,08
1805011;5,06
2205023;5,05
0812033;5,04
2815083;5,04
1602033;5,03
0416022;5,00
1605023;5,00
1420011;4,92
1402011;4,90
0410053;4,87
0216053;4,85
3213021;4,85
2402052;4,84
3204043;4,84
3026043;4,79
1609012;4,78
0225033;4,78
0224013;4,75
3003023;4,74
2009011;4,72
2202043;4,72
0808063;4,71
1611073;4,70
1211092;4,69
1611053;4,68
0605053;4,68
2601013;4,68
0224053;4,65
2816033;4,65
1817032;4,65
3031023;4,65
2216032;4,63
0807043;4,62
2808011;4,61
0810011;4,60
0214011;4,60
0208143;4,59
0802063;4,59
0806043;4,59
1211032;4,58
3214113;4,58
2004011;4,57
2813043;4,57
1428052;4,55
3216042;4,54
3020063;4,53
2612073;4,50
1005011;4,49
1423032;4,49
0610033;4,48
1604023;4,47
1424022;4,47
3009011;4,45
0414093;4,45
0418011;4,45
1208032;4,44
0805022;4,44
3001011;4,43
0213033;4,43
2005011;4,40
2206062;4,39
3024073;4,39
2209073;4,38
1202023;4,38
0410033;4,36
3216011;4,36
0408011;4,36
1204023;4,35
1204012;4,35
0215033;4,33
2801063;4,32
1206123;4,30
3016013;4,30
2209011;4,29
2613063;4,28
2804032;4,27
0219063;4,26
2805011;4,26
0404072;4,24
0404032;4,24
3206043;4,24
0407011;4,21
0603142;4,21
2403011;4,20
2411011;4,20
1610043;4,19
0217043;4,19
0219021;4,17
3015043;4,17
1810042;4,16
1806023;4,16
3023072;4,16
2215102;4,15
2014011;4,14
1206113;4,14
2803011;4,13
1401013;4,12
2006011;4,12
3028011;4,11
0805043;4,11
3015032;4,10
1012011;4,09
0208011;4,08
1211011;4,08
0221053;4,08
2802033;4,07
3012043;4,06
1806012;4,06
2809011;4,06
0208021;4,05
2208011;4,05
0401021;4,04
1413011;4,03
1818062;4,01
3208011;4,01
0812023;4,00
1061011;4,00
2807011;4,00
1210042;3,99
0418123;3,99
3018073;3,99
0808053;3,99
3214092;3,98
2602023;3,98
1410012;3,96
1213043;3,96
1435053;3,95
0205011;3,95
3209063;3,94
1811042;3,94
2213132;3,94
0801042;3,93
1602013;3,93
1432013;3,93
2211072;3,93
3014022;3,92
0222033;3,92
1812053;3,92
0810073;3,90
0811021;3,90
0616032;3,90
0413023;3,88
1404011;3,88
3017011;3,88
0411011;3,88
1802013;3,87
2810011;3,87
1218093;3,87
0418052;3,87
2013011;3,86
3204023;3,86
2403042;3,85
2802011;3,84
0203011;3,84
3027011;3,83
1006113;3,83
3014033;3,83
2462011;3,83
3005023;3,83
1424043;3,82
1213011;3,82
1021022;3,82
1606023;3,81
1215032;3,81
0607011;3,81
3011011;3,81
2203043;3,81
1601011;3,81
3213011;3,80
1401032;3,80
0414042;3,80
3003011;3,79
2613052;3,79
1804011;3,79
0211011;3,78
1017093;3,78
0219011;3,78
0805053;3,77
1411011;3,77
3218043;3,77
1406053;3,77
2407011;3,76
2211011;3,75
3208062;3,75
0417011;3,75
1803042;3,74
2607062;3,74
2010011;3,74
1002043;3,74
2609011;3,74
2409042;3,73
0464011;3,73
0204043;3,72
0402011;3,71
2211021;3,71
0617011;3,70
2607011;3,70
3201033;3,70
0809033;3,69
1201011;3,69
3202033;3,69
2009042;3,69
2605033;3,69
3020033;3,68
1212073;3,68
2611011;3,68
2403082;3,68
1402062;3,67
0221011;3,67
0414012;3,67
1206063;3,66
1415112;3,66
1430012;3,66
2806011;3,66
0204013;3,66
0208041;3,65
1020021;3,65
1815043;3,65
3214011;3,65
1814042;3,65
1210122;3,64
0201011;3,64
2213031;3,64
3008042;3,63
0603152;3,62
1407053;3,62
2803043;3,62
1203043;3,61
2412013;3,61
1002113;3,61
2206011;3,61
3211033;3,61
3202063;3,60
2815011;3,60
1206132;3,60
1003023;3,60
1401022;3,60
2809032;3,59
0220033;3,59
3002032;3,59
0202021;3,58
2008063;3,58
2402022;3,58
0605012;3,58
1407022;3,57
1605053;3,57
2011083;3,57
2406013;3,57
0412052;3,57
2417102;3,57
0224063;3,56
1601052;3,56
3031053;3,56
2474011;3,55
0608063;3,54
3018033;3,54
0805033;3,54
1601043;3,53
0202011;3,53
0416063;3,53
3021011;3,52
2210011;3,51
0414072;3,51
1002072;3,51
1205011;3,51
2801011;3,50
0803012;3,50
2202011;3,49
1815033;3,49
0618011;3,48
3022023;3,48
3022013;3,48
2416021;3,48
2814122;3,47
2205083;3,47
3027033;3,47
3004073;3,47
3063011;3,47
1419142;3,45
1812063;3,45
3018012;3,45
3205012;3,45
1209073;3,45
1208053;3,44
1002011;3,44
0407082;3,44
1212042;3,44
0806032;3,44
2406052;3,44
1607013;3,44
1009013;3,43
1820043;3,43
1404032;3,43
2211031;3,43
0216043;3,43
2214011;3,42
1609042;3,42
3013033;3,42
1218013;3,42
1006022;3,42
0225021;3,41
1016011;3,41
0221042;3,41
2005042;3,41
3212033;3,41
0416052;3,40
0404052;3,40
3206053;3,40
1816072;3,40
2216053;3,39
2610011;3,39
3210043;3,39
1603042;3,39
2413062;3,39
1004011;3,39
1007043;3,38
0225043;3,38
2804012;3,38
3030053;3,38
1428082;3,38
2816023;3,38
0204032;3,38
1428042;3,37
2207011;3,37
3003093;3,37
1412042;3,36
1607053;3,36
0802011;3,35
0603113;3,34
2417082;3,34
1461011;3,34
0804011;3,33
0811043;3,33
2410022;3,33
2609082;3,33
1210011;3,33
3215011;3,33
0809063;3,32
3211022;3,32
0620142;3,32
1018052;3,31
3005032;3,31
0801011;3,31
2810023;3,31
2409011;3,31
2417011;3,31
1423012;3,30
0409043;3,30
1216092;3,30
0620112;3,29
0206021;3,29
2608043;3,29
0214053;3,28
1430053;3,28
0208031;3,28
2010092;3,28
